"ZipCode","PlaceName",State,County,Lat,Long,RAND #s
75960,Moscow,TX,Polk,30.9179,-94.8544,0.00716015294417893
91394,Granada Hills,CA,Los Angeles,34.2647,-118.5231,0.00716341960393119
68714,Bassett,NE,Rock,42.5763,-99.5387,0.00718242168566285
34603,Brooksville,FL,Hernando,28.5642,-82.4165,0.007195874577274
6354,Moosup,CT,Windham,41.721,-71.885,0.00726045923669527
32658,La Crosse,FL,Alachua,29.8433,-82.4048,0.00726706466218718
25303,South Charleston,WV,Kanawha,38.3684,-81.6996,0.00728137314762656
40946,Green Road,KY,Knox,36.8713,-83.83,0.00734269343017469
84008,Bonanza,UT,Uintah,40.0211,-109.1773,0.00734995035317143
63117,Saint Louis,MO,St. Louis,38.6295,-90.3342,0.00736542130582485
72168,Tucker,AR,Jefferson,34.4414,-91.9163,0.00740710552046431
64166,Kansas City,MO,Clay,39.3294,-94.5199,0.00746493109065438
99754,Koyukuk,AK,Yukon-Koyukuk (CA),64.8803,-157.7008,0.00754230731582362
5640,Adamant,VT,Washington,44.3575,-72.5046,0.00757595056759508
20470,Washington,DC,District of Columbia,38.8933,-77.0146,0.00757642230239053
81244,Rockvale,CO,Fremont,38.3697,-105.1639,0.00760749582557119
20138,Calverton,VA,Fauquier,38.6338,-77.6869,0.00767922139917576
2842,Middletown,RI,Newport,41.5198,-71.2731,0.00768214815159418
28010,Barium Springs,NC,Iredell,35.7192,-80.8991,0.00770830415622747
55705,Aurora,MN,St. Louis,47.4951,-92.2415,0.00771905445158605
90030,Los Angeles,CA,Los Angeles,34.0522,-118.2437,0.00774596616854895
27805,Aulander,NC,Bertie,36.1475,-77.1141,0.00777466679191452
30024,Suwanee,GA,Gwinnett,34.0425,-84.0262,0.00778283177803396
68445,Swanton,NE,Saline,40.3844,-97.0806,0.00778639368975642
73666,Sweetwater,OK,Roger Mills,35.4488,-99.9006,0.00779414186516425
56547,Glyndon,MN,Clay,46.882,-96.5583,0.00781254545760179
94522,Concord,CA,Contra Costa,37.978,-122.0311,0.00782046541813442
33206,Miami,FL,Miami-Dade,25.7743,-80.1937,0.00787238779052513
22603,Winchester,VA,Frederick,39.264,-78.1989,0.00788989139564378
90223,Compton,CA,Los Angeles,33.8958,-118.2201,0.00789043646910526
80108,Castle Rock,CO,Douglas,39.4455,-104.853,0.00791026759131941
48555,Flint,MI,Genesee,43.0113,-83.7108,0.00795415084048323
48067,Royal Oak,MI,Oakland,42.4906,-83.1366,0.00796947749908628
78013,Comfort,TX,Kendall,29.9677,-98.905,0.0080176879574021
6763,Morris,CT,Litchfield,41.6881,-73.1765,0.00802374616700452
29860,North Augusta,SC,Aiken,33.6028,-81.9748,0.00804171080273708
50123,Humeston,IA,Wayne,40.8469,-93.5101,0.00804279044532497
30078,Snellville,GA,Gwinnett,33.8635,-84.0081,0.00808386407226192
51570,Shelby,IA,Pottawattamie,41.5339,-95.4469,0.00808461503296809
65583,Waynesville,MO,Pulaski,37.7676,-92.2105,0.00819289851731597
77009,Houston,TX,Harris,29.7936,-95.3675,0.00823766661045466
13763,Endicott,NY,Broome,42.0984,-76.0494,0.00830095288537636
72427,Egypt,AR,Craighead,35.864,-90.9428,0.00830144805278554
34958,Jensen Beach,FL,Martin,27.2424,-80.2246,0.00830248235297271
53274,Milwaukee,WI,Milwaukee,43.0389,-87.9065,0.00832504986073213
15329,Prosperity,PA,Washington,40.0224,-80.2613,0.00835727442656509
43901,Adena,OH,Jefferson,40.2126,-80.8815,0.00838760848001019
1247,North Adams,MA,Berkshire,42.6955,-73.08,0.00838831249571681
69212,Crookston,NE,Cherry,42.9255,-100.7735,0.00842954137553387
49725,De Tour Village,MI,Chippewa,45.9939,-83.9396,0.00843901581675421
4933,East Newport,ME,Penobscot,44.8209,-69.2225,0.00844513886552456
10119,New York,NY,New York,40.7808,-73.9772,0.00847442431708712
20425,Washington,DC,District of Columbia,38.8933,-77.0146,0.00856613448738752
75903,Lufkin,TX,Angelina,31.2766,-94.5676,0.00859688956349314
92109,San Diego,CA,San Diego,32.7969,-117.2405,0.00860971961707457
23038,Columbia,VA,Goochland,37.7147,-78.1794,0.00861904518586931
79563,Tye,TX,Taylor,32.4477,-99.8684,0.00862480102062058
96825,Honolulu,HI,Honolulu,21.2987,-157.6985,0.00868245840002946
54226,Maplewood,WI,Door,44.7475,-87.4793,0.00868574405947598
26385,Lost Creek,WV,Harrison,39.1725,-80.3777,0.00869250837549274
67544,Hoisington,KS,Barton,38.4789,-98.7565,0.00869870612511459
85624,Patagonia,AZ,Santa Cruz,31.5353,-110.6968,0.00871037784950468
76240,Gainesville,TX,Cooke,33.6547,-97.1583,0.00874509852214978
63052,Imperial,MO,Jefferson,38.4069,-90.4381,0.00876113865838291
53581,Richland Center,WI,Richland,43.3661,-90.4302,0.00880085302603006
88231,Eunice,NM,Lea,32.4392,-103.1594,0.0088093063144804
97077,Beaverton,OR,Washington,45.4871,-122.8037,0.00882168525144444
21014,Bel Air,MD,Harford,39.5394,-76.3564,0.00885382027467185
82401,Worland,WY,Washakie,44.0138,-107.9563,0.00885437812551193
54656,Sparta,WI,Monroe,43.954,-90.8146,0.0088678477974562
41773,Vicco,KY,Perry,37.202,-83.0658,0.00887514362315223
60661,Chicago,IL,Cook,41.8814,-87.643,0.00897660484652652
59722,Deer Lodge,MT,Powell,46.3881,-112.7476,0.00903235040643358
97038,Molalla,OR,Clackamas,45.1223,-122.5756,0.00905839125818098
3073,North Salem,NH,Rockingham,42.837,-71.2206,0.00906367369783834
3851,Milton,NH,Strafford,43.4229,-71.0114,0.00907678374591603
